,close,symbol
2015-12-01,108.82,AGG
2015-12-02,108.67,AGG
2015-12-03,107.89,AGG
2015-12-04,108.24,AGG
2015-12-07,108.4,AGG
2015-12-08,108.44,AGG
2015-12-09,108.44,AGG
2015-12-10,108.42,AGG
2015-12-11,108.69,AGG
2015-12-14,108.18,AGG
2015-12-15,108.19,AGG
2015-12-16,108.0,AGG
2015-12-17,108.15,AGG
2015-12-18,108.38,AGG
2015-12-21,108.28,AGG
2015-12-22,108.2,AGG
2015-12-23,108.18,AGG
2015-12-24,107.99,AGG
2015-12-28,108.01,AGG
2015-12-29,107.74,AGG
2015-12-30,107.72,AGG
2015-12-31,108.01,AGG
2016-01-04,107.97,AGG
2016-01-05,108.02,AGG
2016-01-06,108.43,AGG
2016-01-07,108.42,AGG
2016-01-08,108.66,AGG
2016-01-11,108.35,AGG
2016-01-12,108.59,AGG
2016-01-13,108.84,AGG
2016-01-14,108.8,AGG
2016-01-15,108.93,AGG
2016-01-19,108.82,AGG
2016-01-20,108.91,AGG
2016-01-21,108.76,AGG
2016-01-22,108.84,AGG
2016-01-25,108.78,AGG
2016-01-26,108.92,AGG
2016-01-27,108.94,AGG
2016-01-28,109.03,AGG
2016-01-29,109.31,AGG
2016-02-01,108.99,AGG
2016-02-02,109.32,AGG
2016-02-03,109.31,AGG
2016-02-04,109.42,AGG
2016-02-05,109.32,AGG
2016-02-08,109.74,AGG
2016-02-09,109.73,AGG
2016-02-10,110.0,AGG
2016-02-11,110.07,AGG
2016-02-12,109.77,AGG
2016-02-16,109.5,AGG
2016-02-17,109.44,AGG
2016-02-18,109.77,AGG
2016-02-19,109.79,AGG
2016-02-22,109.84,AGG
2016-02-23,109.84,AGG
2016-02-24,109.88,AGG
2016-02-25,110.16,AGG
2016-02-26,109.96,AGG
2016-02-29,110.09,AGG
2016-03-01,109.54,AGG
2016-03-02,109.42,AGG
2016-03-03,109.55,AGG
2016-03-04,109.38,AGG
2016-03-07,109.35,AGG
2016-03-08,109.62,AGG
2016-03-09,109.57,AGG
2016-03-10,109.62,AGG
2016-03-11,109.42,AGG
2016-03-14,109.48,AGG
2016-03-15,109.38,AGG
2016-03-16,109.85,AGG
2016-03-17,110.08,AGG
2016-03-18,110.17,AGG
2016-03-21,109.93,AGG
2016-03-22,109.85,AGG
2016-03-23,110.07,AGG
2016-03-24,110.11,AGG
2016-03-28,110.19,AGG
2016-03-29,110.52,AGG
2016-03-30,110.48,AGG
2016-03-31,110.84,AGG
2016-04-01,110.51,AGG
2016-04-04,110.62,AGG
